arcos_all_washpost_shuf5000
REPORTER_DEA_NO,REPORTER_BUS_ACT,REPORTER_NAME,REPORTER_ADDL_CO_INFO,REPORTER_ADDRESS1,REPORTER_ADDRESS2,REPORTER_CITY,REPORTER_STATE,REPORTER_ZIP,REPORTER_COUNTY,BUYER_DEA_NO,BUYER_BUS_ACT,BUYER_NAME,BUYER_ADDL_CO_INFO,BUYER_ADDRESS1,BUYER_ADDRESS2,BUYER_CITY,BUYER_STATE,BUYER_ZIP,BUYER_COUNTY,TRANSACTION_CODE,DRUG_CODE,NDC_NO,DRUG_NAME,QUANTITY,UNIT,ACTION_INDICATOR,ORDER_FORM_NO,CORRECTION_NO,STRENGTH,TRANSACTION_DATE,CALC_BASE_WT_IN_GM,DOSAGE_UNIT,TRANSACTION_ID,Product_Name,Ingredient_Name,Measure,MME_Conversion_Factor,Combined_Labeler_Name,Revised_Company_Name,Reporter_family,dos_str
PS0001723,DISTRIBUTOR,SMITH DRUG COMPANY,null,DIVISION JM SMITH CORP,9098 FAIRFOREST ROAD,SPARTANBURG,SC,29301,SPARTANBURG,FP1568560,RETAIL PHARMACY,PLANTATION PHARMACY@WAPPOO RD,null,531 WAPPOO ROAD,null,CHARLESTON,SC,29407,CHARLESTON,S,9143,406853001,OXYCODONE,1.0,null,null,09X000022,null,null,12022009,2.6895,100.0,912061554,OXYCODONE HYDROCHLORIDE 30MG TABLET,OXYCODONE HYDROCHLORIDE,TAB,1.5,SpecGx LLC,Mallinckrodt,Smith Drug Company,30.0
PP0220828,DISTRIBUTOR,KROGER LIMITED PARTNERSHIP II,null,DBA PEYTON'S NORTHERN,1111 SOUTH ADAMS STREET,BLUFFTON,IN,46714,WELLS,BK6966494,CHAIN PHARMACY,KROGER PHARMACY 014411,null,824 MAIN STREET,null,MILFORD,OH,45150,CLERMONT,S,9193,406036001,HYDROCODONE,2.0,null,null,null,null,null,8132007,0.9081,200.0,21916,HYDROCODO.BIT/APAP 7.5MG/750MG USP T,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,TAB,1.0,SpecGx LLC,Mallinckrodt,Kroger,7.5
RW0165731,DISTRIBUTOR,WAL-MART PHARMACY WAREHOUSE,null,#28,801 COR-DA BOULEVARD,CRAWFORDSVILLE,IN,47933,MONTGOMERY,BS8346531,CHAIN PHARMACY,SAM'S PHARMACY 10-6662,null,31720 GRATIOT AVE,null,ROSEVILLE,MI,48066,MACOMB,S,9193,406035801,HYDROCODONE,2.0,null,null,null,null,null,6292011,0.9081,200.0,1106032488,HYDROCODONE BIT/ACETA 7.5MG/500MG US,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,TAB,1.0,SpecGx LLC,Mallinckrodt,Wal-Mart,7.5
PM0001951,DISTRIBUTOR,MCKESSON CORPORATION,null,DBA MCKESSON DRUG CO.,4836 SOUTHRIDGE BLVD,MEMPHIS,TN,38141,SHELBY,BN1403764,RETAIL PHARMACY,NATIONAL PARK PHARMACY,null,"1534 MALVERN AVE,SUITE B",null,HOT SPRINGS,AR,71901,GARLAND,S,9193,591320301,HYDROCODONE,5.0,null,null,null,null,null,12052012,2.27025,500.0,1212024490,HYDROCODONE BITARTRATE AND ACETA 7.5,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,TAB,1.0,"Actavis Pharma, Inc.","Allergan, Inc.",McKesson Corporation,7.5
RW0191813,DISTRIBUTOR,CARDINAL HEALTH,null,"801 C STREET NW, SUITE B",null,AUBURN,WA,98001,KING,AF5058323,CHAIN PHARMACY,FRED MEYER,null,2500 SANTIAM HIGHWAY,null,ALBANY,OR,97322,LINN,S,9143,59011010510,OXYCODONE,1.0,null,null,71102124,null,0,6062007,3.5860000000000000,100.0,706006627,OXYCONTIN - 40MG OXYCODONE.HCL CONTR,OXYCODONE HYDROCHLORIDE,TAB,1.5,Purdue Pharma LP,Purdue Pharma LP,Cardinal Health,40.0
PR0104593,DISTRIBUTOR,MCKESSON CORPORATION,null,DBA MCKESSON DRUG CO,280 DIVIDEND RD,ROCKY HILL,CT,6067,HARTFORD,BR2608062,CHAIN PHARMACY,"MAXI DRUG SOUTH, LP",RITE AID #10256,655 WARREN AVE.,null,EAST PROVIDENCE,RI,2914,PROVIDENCE,S,9143,406058201,OXYCODONE,1.0,null,null,85759449,null,null,4282009,0.672375,100.0,904014068,OXYCODONE AND ACETA 7.5MG / 500MG TA,OXYCODONE HYDROCHLORIDE,TAB,1.5,SpecGx LLC,Mallinckrodt,McKesson Corporation,7.5
RC0182080,DISTRIBUTOR,CARDINAL HEALTH,null,2045 INTERSTATE DRIVE,null,LAKELAND,FL,33805,POLK,BC5287037,CHAIN PHARMACY,"HOLIDAY CVS, L.L.C.",DBA: CVS/PHARMACY  # 03273,5555 N UNIVERSITY DR,null,LAUDERHILL,FL,33351,BROWARD,S,9143,591093201,OXYCODONE,1.0,null,null,62808852,null,0,10052006,0.8965,100.0,610013896,OXYCODONE.HCL/APAP 10MG/325MG TABS,OXYCODONE HYDROCHLORIDE,TAB,1.5,"Actavis Pharma, Inc.","Allergan, Inc.",Cardinal Health,10.0
RW0243903,DISTRIBUTOR,CARDINAL HEALTH,null,4 CARDINAL HEALTH CT.,null,GREENSBORO,NC,27407,GUILFORD,AS5123598,RETAIL PHARMACY,SENTRY DRUG CENTER #11,null,2622 EAST MAIN STREET,null,LINCOLNTON,NC,28092,LINCOLN,S,9143,591093201,OXYCODONE,1.0,null,null,08X000161,null,0,9162008,0.8965,100.0,809041961,OXYCODONE.HCL/APAP 10MG/325MG TABS,OXYCODONE HYDROCHLORIDE,TAB,1.5,"Actavis Pharma, Inc.","Allergan, Inc.",Cardinal Health,10.0
PV0035673,DISTRIBUTOR,VALUE DRUG CO,null,ONE GOLF VIEW DRIVE,null,ALTOONA,PA,16601,BLAIR,AR8830146,RETAIL PHARMACY,REDSTONE PHARMACY,null,1009 MAIN STREET,BOX 757,REPUBLIC,PA,15475,FAYETTE,S,9143,60951071270,OXYCODONE,1.0,null,null,11X000191,null,null,9082011,0.8965,100.0,6466,ENDOCET - 10MG OXYCODONE.HCL/325MG A,OXYCODONE HYDROCHLORIDE,TAB,1.5,Par Pharmaceutical,"Endo Pharmaceuticals, Inc.",Value Drug Co,10.0
PV0035673,DISTRIBUTOR,VALUE DRUG CO,null,ONE GOLF VIEW DRIVE,null,ALTOONA,PA,16601,BLAIR,BW6763901,RETAIL PHARMACY,WEST YORK PHARMACY,null,2241 WEST MARKET STREET,null,YORK,PA,17404,YORK,S,9143,406059601,OXYCODONE,4.0,null,null,90327720,null,null,6092009,28.688000000000000,400.0,6389,OXYCODONE HYDROCHLORIDE 80MG TABS.,OXYCODONE HYDROCHLORIDE,TAB,1.5,SpecGx LLC,Mallinckrodt,Value Drug Co,80.0
RW0191926,DISTRIBUTOR,CARDINAL HEALTH,null,7601 N.E. GARDNER AVENUE,null,KANSAS CITY,MO,64120,JACKSON,FB0714205,RETAIL PHARMACY,BEAN'S PHARMACY,null,222 S.IOWA AVE,null,WASHINGTON,IA,52353,WASHINGTON,S,9193,406035705,HYDROCODONE,1.0,null,null,null,null,0,8112009,1.5135,500.0,908010551,HYDROCODONE BIT/ACETAMINOPHEN 5MG/50,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,TAB,1.0,SpecGx LLC,Mallinckrodt,Cardinal Health,5.0
RW0294493,DISTRIBUTOR,WALGREEN CO,null,28727 OREGON ROAD,ATTN: C II MANAGER,PERRYSBURG,OH,43551,WOOD,FW0468961,CHAIN PHARMACY,WALGREEN CO,DBA: WALGREENS #10315,2005 CENTENNIAL BLVD,null,INDEPENDENCE,KY,41051,KENTON,S,9193,591034905,HYDROCODONE,1.0,null,null,null,null,0,10072009,1.5135,500.0,25720,HYDROCODONE BIT 5MG/ACETAMINOPHEN 50,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,TAB,1.0,"Actavis Pharma, Inc.","Allergan, Inc.",Walgreen Co,5.0
PR0040357,DISTRIBUTOR,MCKESSON CORPORATION,null,DBA MCKESSON DRUG CO,2975 EVERGREEN DR,DULUTH,GA,30096,GWINNETT,BB7897664,RETAIL PHARMACY,BRASSTOWN PROFESSIONAL PHCY,INC,23B MURPHY HWY,null,BLAIRSVILLE,GA,30512,UNION,S,9193,406035705,HYDROCODONE,1.0,null,null,null,null,null,6202012,1.5135,500.0,1206013332,HYDROCODONE BIT/ACETAMINOPHEN 5MG/50,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,TAB,1.0,SpecGx LLC,Mallinckrodt,McKesson Corporation,5.0
PM0021131,DISTRIBUTOR,MCKESSON CORPORATION,null,DBA MCKESSON DRUG CO.,495 S. 107TH,TOLLESON,AZ,85353,MARICOPA,BS1449772,CHAIN PHARMACY,SAFEWAY INC,SAFEWAY PHARMACY #1202,3131 E THUNDERBIRD ROAD,null,PHOENIX,AZ,85032,MARICOPA,S,9143,406051201,OXYCODONE,2.0,null,null,106072975,null,null,3082011,0.8965,200.0,1103013100,OXYCODONE HCL/ACETAMINOPHEN 5MG/325M,OXYCODONE HYDROCHLORIDE,TAB,1.5,SpecGx LLC,Mallinckrodt,McKesson Corporation,5.0
PS0001723,DISTRIBUTOR,SMITH DRUG COMPANY,null,DIVISION JM SMITH CORP,9098 FAIRFOREST ROAD,SPARTANBURG,SC,29301,SPARTANBURG,BB0702250,RETAIL PHARMACY,BIG S DISCOUNT DRUG,null,8073 EDMOND HWY,PO BOX 237,PELION,SC,29123,LEXINGTON,S,9193,591038505,HYDROCODONE,1.0,null,null,null,null,null,10162009,2.27025,500.0,912109265,HYDROCODONE BIT.7.5MG/ACETAMINOPHEN,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,TAB,1.0,"Actavis Pharma, Inc.","Allergan, Inc.",Smith Drug Company,7.5
RR0236073,DISTRIBUTOR,RITE AID MID-ATLANTIC,null,CUSTOMER SUPPORT CENTER,601 CHELSEA ROAD,ABERDEEN,MD,21001,HARFORD,BR1538846,CHAIN PHARMACY,"RITE AID OF MARYLAND, INC.",RITE AID #278,537 JERMOR LANE,null,WESTMINSTER,MD,21157,CARROLL,S,9193,406035705,HYDROCODONE,1.0,null,null,null,null,null,5072008,1.5135,500.0,8917,HYDROCODONE BIT/ACETAMINOPHEN 5MG/50,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,TAB,1.0,SpecGx LLC,Mallinckrodt,Rite Aid,5.0
RW0186278,DISTRIBUTOR,WAL-MART WAREHOUSE #32,null,13231 11TH AVENUE,null,HANFORD,CA,93230,KINGS,BW3223473,CHAIN PHARMACY,WAL-MART PHARMACY 10-1700,null,13425 COMMUNITY ROAD,null,POWAY,CA,92064,SAN DIEGO,S,9193,406036601,HYDROCODONE,1.0,null,null,null,null,null,2152012,0.45405,100.0,1202021478,HYDROCODONE BIT/ACETA 7.5MG/325MG US,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,TAB,1.0,SpecGx LLC,Mallinckrodt,Wal-Mart,7.5
RC0333524,DISTRIBUTOR,CARDINAL HEALTH,null,13651 DUBLIN CT,null,STAFFORD,TX,77477,FORT BEND,AW2885107,CHAIN PHARMACY,WALGREEN CO.,DBA: WALGREENS # 05094,14616 MEMORIAL DRIVE,null,HOUSTON,TX,77079,HARRIS,S,9193,591054005,HYDROCODONE,1.0,null,null,null,null,0,3012007,3.0270000000000000,500.0,703000134,HYDROCODONE BIT. 10MG/ACETAMINOPHEN,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,TAB,1.0,"Actavis Pharma, Inc.","Allergan, Inc.",Cardinal Health,10.0
PM0001951,DISTRIBUTOR,MCKESSON CORPORATION,null,DBA MCKESSON DRUG CO.,4836 SOUTHRIDGE BLVD,MEMPHIS,TN,38141,SHELBY,BW5419191,CHAIN PHARMACY,WAL-MART PHARMACY 10-0009,null,1303 S MAIN ST,null,SIKESTON,MO,63801,SCOTT,S,9193,591038801,HYDROCODONE,1.0,null,null,null,null,null,5142007,0.15135,100.0,705013069,HYDROCODONE BITARTARATE.2.5MG & ACET,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,TAB,1.0,"Actavis Pharma, Inc.","Allergan, Inc.",McKesson Corporation,2.5
RM0380484,DISTRIBUTOR,MCKESSON CORPORATION,null,1995 MCKESSON ST.,SUITE 101,AURORA,IL,60502,DUPAGE,FP0611776,RETAIL PHARMACY,PHILS DISCOUNT DRUGS,null,702 E. LINCOLNWAY,null,LAPORTE,IN,46350,LA PORTE,S,9193,406036501,HYDROCODONE,2.0,null,null,null,null,null,4252011,0.6054,200.0,1104011219,HYDROCODONE BIT/ACETA 5MG/325MG USP,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,TAB,1.0,SpecGx LLC,Mallinckrodt,McKesson Corporation,5.0
RW0347496,DISTRIBUTOR,WALGREEN CO.,null,DBA: WALGREENS,101 ALLIANCE PARKWAY,WILLIAMSTON,SC,29697,ANDERSON,BW7437292,CHAIN PHARMACY,WALGREEN CO.,DBA: WALGREENS # 05877,1902 WEST FRANKLIN BLVD.,null,GASTONIA,NC,28052,GASTON,S,9193,591034905,HYDROCODONE,1.0,null,null,null,null,null,3202012,1.5135,500.0,5950,HYDROCODONE BIT 5MG/ACETAMINOPHEN 50,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,TAB,1.0,"Actavis Pharma, Inc.","Allergan, Inc.",Walgreen Co,5.0
PD0029567,DISTRIBUTOR,MCKESSON CORPORATION,null,DBA MCKESSON DRUG COMPANY,7721 POLK STREET,LANDOVER,MD,20785,PRINCE GEORGES,BM0927903,RETAIL PHARMACY,MILLINGTON PHARMACY,null,SASSAFRAS & CYPRESS,PO BOX 390,MILLINGTON,MD,21651,KENT,S,9193,591085301,HYDROCODONE,1.0,null,null,null,null,null,11242009,0.6054,100.0,911031191,HYDROCODONE BIT. 10MG/ACETAMINOPHEN,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,TAB,1.0,"Actavis Pharma, Inc.","Allergan, Inc.",McKesson Corporation,10.0
RH0277067,DISTRIBUTOR,"HEB GROCERY COMPANY, LP",HEB PHARMACY WAREHOUSE,6520 FRATT RD,null,SAN ANTONIO,TX,78218,BEXAR,BH9440102,CHAIN PHARMACY,"HEB PHARMACY 054, LP",null,9828 BLACKHAWK BLVD.,null,HOUSTON,TX,77075,HARRIS,S,9193,591038705,HYDROCODONE,1.0,null,I,null,null,null,7122010,2.27025,500.0,66963,HYDROCODONE BITARTRATE 7.5MG/ACETAMI,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,TAB,1.0,"Actavis Pharma, Inc.","Allergan, Inc.","HEB Grocery Company, LP",7.5
RC0182080,DISTRIBUTOR,CARDINAL HEALTH,null,2045 INTERSTATE DRIVE,null,LAKELAND,FL,33805,POLK,BC5274600,CHAIN PHARMACY,"HOLIDAY CVS, L.L.C.",DBA: CVS/PHARMACY  # 01114,4475 SAN JUAN AVENUE,null,JACKSONVILLE,FL,32210,DUVAL,S,9143,406051201,OXYCODONE,24.0,null,null,66322462,null,0,2152007,10.758,2400.0,702042212,OXYCODONE HCL/ACETAMINOPHEN 5MG/325M,OXYCODONE HYDROCHLORIDE,TAB,1.5,SpecGx LLC,Mallinckrodt,Cardinal Health,5.0
RD0277409,DISTRIBUTOR,"MASTERS PHARMACEUTICAL, INC",DBA: RIVER CITY PHARMA,11930 KEMPER SPRINGS,null,CINCINNATI,OH,45240,HAMILTON,BB7832050,CHAIN PHARMACY,BROOKSHIRE PHARMACY #126,null,501 E HIGHWAY 199,null,SPRINGTOWN,TX,76082,PARKER,S,9193,53746011001,HYDROCODONE,7.0,null,null,null,null,null,9062011,4.2378,700.0,1280,HYDROCODONE BIT./ACETAMINOPHEN TABS.,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,TAB,1.0,Amneal Pharmaceuticals LLC,"Amneal Pharmaceuticals, Inc.",River City Pharma,10.0
PR0040357,DISTRIBUTOR,MCKESSON CORPORATION,null,DBA MCKESSON DRUG CO,2975 EVERGREEN DR,DULUTH,GA,30096,GWINNETT,BW5430222,CHAIN PHARMACY,WAL-MART PHARMACY 10-0511,null,1283 BROAD STREET,null,SUMTER,SC,29150,SUMTER,S,9193,603388021,HYDROCODONE,1.0,null,null,null,null,null,11212008,0.15135,100.0,811043109,HYDROCOD.BIT. & ACET.;2.5MG/600MG/TA,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,TAB,1.0,Par Pharmaceutical,"Endo Pharmaceuticals, Inc.",McKesson Corporation,2.5
PM0036334,DISTRIBUTOR,MCKESSON DRUG COMPANY,null,DBA MCKESSON DRUG CO.,3230 SPRUCE STREET,LITTLE CANADA,MN,55117,RAMSEY,BM1783390,RETAIL PHARMACY,PARK NICOLLET PHARMACY,null,6490 EXCELSIOR BLVD,null,ST LOUIS PARK,MN,55426,HENNEPIN,S,9193,591034905,HYDROCODONE,1.0,null,null,null,null,null,10192006,1.5135,500.0,610008576,HYDROCODONE BIT 5MG/ACETAMINOPHEN 50,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,TAB,1.0,"Actavis Pharma, Inc.","Allergan, Inc.",McKesson Corporation,5.0
RW0204026,DISTRIBUTOR,WALGREEN CO,null,DBA: WALGREEN WAREHOUSE,2370 E MAIN STREET,WOODLAND,CA,95776,YOLO,BW4857984,CHAIN PHARMACY,WALGREEN CO.,DBA: WALGREENS # 03662,647 140TH AVENUE NE,null,BELLEVUE,WA,98005,KING,S,9143,59011042010,OXYCODONE,1.0,null,null,114951506,null,null,11072011,1.7930000000000000,100.0,38446,OXYCONTIN 20MG OXYCODONE HCL CR TABL,OXYCODONE HYDROCHLORIDE,TAB,1.5,Purdue Pharma LP,Purdue Pharma LP,Walgreen Co,20.0
RK0233180,DISTRIBUTOR,KROGER LIMITED PARTNERSHIP I,null,DBA PEYTON'S SOUTHEASTERN,153 REFRESHMENT LANE,CLEVELAND,TN,37311,BRADLEY,BK0838790,CHAIN PHARMACY,KROGER DRUGSTORE #335,null,4880 LOWER ROSWELL RD,null,MARIETTA,GA,30068,COBB,S,9193,406036005,HYDROCODONE,1.0,null,null,null,null,null,4152006,2.27025,500.0,5003,HYDROCODO.BIT/APAP 7.5MG/750MG USP T,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,TAB,1.0,SpecGx LLC,Mallinckrodt,Kroger,7.5
RC0333524,DISTRIBUTOR,CARDINAL HEALTH,null,13651 DUBLIN CT,null,STAFFORD,TX,77477,FORT BEND,BW9616181,CHAIN PHARMACY,WALGREEN CO.,DBA: WALGREENS # 10259,10660 EASTEX FREEWAY,null,HOUSTON,TX,77093,HARRIS,S,9143,93003301,OXYCODONE,1.0,null,null,61965011,null,0,10052006,7.172000000000000,100.0,610004254,OXYCODONE HYDROCHLORIDE - ER - 80MG/,OXYCODONE HYDROCHLORIDE,TAB,1.5,"Teva Pharmaceuticals USA, Inc.",Teva,Cardinal Health,80.0
PM0031550,DISTRIBUTOR,MIAMI-LUKEN,null,265 S PIONEER BLVD,null,SPRINGBORO,OH,45066,WARREN,BS8484925,RETAIL PHARMACY,SMOKY MOUNTAIN PHARMACY,"GEORGE MILLER, PH",958 DOLLY PARTON PARKWAY,null,SEVIERVILLE,TN,37862,SEVIER,S,9193,603388728,HYDROCODONE,1.0,null,null,null,null,null,11232012,3.0270000000000000,500.0,1589,"HYDROCODONE.BIT./ACET.,10MG & 325MG/",HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,TAB,1.0,Par Pharmaceutical,"Endo Pharmaceuticals, Inc.",Miami-Luken,10.0
RC0182080,DISTRIBUTOR,CARDINAL HEALTH,null,2045 INTERSTATE DRIVE,null,LAKELAND,FL,33805,POLK,BI9106318,RETAIL PHARMACY,INTEGRITY PHARMACY SERVICES,null,3690 NW 53 STREET,SUITE 104,FORT LAUDERDALE,FL,33309,BROWARD,S,9193,406036005,HYDROCODONE,1.0,null,null,null,null,0,5262006,2.27025,500.0,605066373,HYDROCODO.BIT/APAP 7.5MG/750MG USP T,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,TAB,1.0,SpecGx LLC,Mallinckrodt,Cardinal Health,7.5
RA0287020,DISTRIBUTOR,ANDA PHARMACEUTICALS INC,null,6500 ADELAIDE COURT,null,GROVEPORT,OH,43125,FRANKLIN,BM5303259,RETAIL PHARMACY,MOUNTAIN VIEW PHARMACY,"GOODFELLOW, KATHRYN A RPH",425 MEDICAL DRIVE,SUITE 100,BOUNTIFUL,UT,84010,DAVIS,S,9143,591350201,OXYCODONE,3.0,null,null,06X000008,null,0,5242006,5.379,300.0,605027386,OXYCODONE HYDROCHLORIDE CR 20MG TABL,OXYCODONE HYDROCHLORIDE,TAB,1.5,"Actavis Pharma, Inc.",Purdue Pharma LP,"Anda, Inc",20.0
RW0277752,DISTRIBUTOR,WALGREEN CO,null,15998 WALGREENS DRIVE,null,JUPITER,FL,33478,PALM BEACH,BW6348280,CHAIN PHARMACY,WALGREEN CO.,DBA: WALGREENS # 04691,26800 JOHN R ROAD,null,MADISON HEIGHTS,MI,48071,OAKLAND,S,9143,60951070370,OXYCODONE,1.0,null,null,62022453,null,0,10112006,1.7930000000000000,100.0,110051,OXYCOD.HCL ER TABS;20MG/TAB,OXYCODONE HYDROCHLORIDE,TAB,1.5,Par Pharmaceutical,"Endo Pharmaceuticals, Inc.",Walgreen Co,20.0
PW0186785,DISTRIBUTOR,WAL-MART PHARM WAREHOUSE #1,null,2252 NORTH 8TH STREET,null,ROGERS,AR,72756,BENTON,BW0219534,CHAIN PHARMACY,WAL-MART PHARMACY 10-0045,null,1815 EAST HIGHLAND ST,null,JONESBORO,AR,72401,CRAIGHEAD,S,9193,406036301,HYDROCODONE,2.0,null,null,null,null,null,5072007,1.2108,200.0,705043946,HYDROCODONE BIT/ACETA 10MG/500MG USP,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,TAB,1.0,SpecGx LLC,Mallinckrodt,Wal-Mart,10.0
PW0186785,DISTRIBUTOR,WAL-MART PHARM WAREHOUSE #1,null,2252 NORTH 8TH STREET,null,ROGERS,AR,72756,BENTON,BW6166450,CHAIN PHARMACY,WAL-MART PHARMACY 10-2654,null,1650 EDMONTON ROAD,null,TOMPKINSVILLE,KY,42167,MONROE,S,9193,406035705,HYDROCODONE,1.0,null,null,null,null,null,8122011,1.5135,500.0,1108012450,HYDROCODONE BIT/ACETAMINOPHEN 5MG/50,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,TAB,1.0,SpecGx LLC,Mallinckrodt,Wal-Mart,5.0
PP0220828,DISTRIBUTOR,KROGER LIMITED PARTNERSHIP II,null,DBA PEYTON'S NORTHERN,1111 SOUTH ADAMS STREET,BLUFFTON,IN,46714,WELLS,AT1154575,CHAIN PHARMACY,KROGER PHARMACY #014934,null,1450 SOUTH ERIE HIGHWAY,null,HAMILTON,OH,45011,BUTLER,S,9193,603388721,HYDROCODONE,3.0,null,null,null,null,null,8172009,1.8162,300.0,3805,"HYDROCODONE.BIT./ACET.,10MG & 325MG/",HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,TAB,1.0,Par Pharmaceutical,"Endo Pharmaceuticals, Inc.",Kroger,10.0
RW0204026,DISTRIBUTOR,WALGREEN CO,null,DBA: WALGREEN WAREHOUSE,2370 E MAIN STREET,WOODLAND,CA,95776,YOLO,FW1436206,CHAIN PHARMACY,WALGREEN CO.,DBA: WALGREENS #09516,770 1ST ST,null,GILROY,CA,95020,SANTA CLARA,S,9193,591051701,HYDROCODONE,1.0,null,null,null,null,null,2162012,0.6054,100.0,13464,HYDROCODONE BITARTRATE & ACETA 10MG/,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,TAB,1.0,"Actavis Pharma, Inc.","Allergan, Inc.",Walgreen Co,10.0
PP0220828,DISTRIBUTOR,KROGER LIMITED PARTNERSHIP II,null,DBA PEYTON'S NORTHERN,1111 SOUTH ADAMS STREET,BLUFFTON,IN,46714,WELLS,BK1128114,CHAIN PHARMACY,KROGER PHARMACY,null,12501 SHELBYVILLE ROAD,null,LOUISVILLE,KY,40243,JEFFERSON,S,9193,603388728,HYDROCODONE,1.0,null,null,null,null,null,11012011,3.0270000000000000,500.0,8949,"HYDROCODONE.BIT./ACET.,10MG & 325MG/",HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,TAB,1.0,Par Pharmaceutical,"Endo Pharmaceuticals, Inc.",Kroger,10.0
RC0182080,DISTRIBUTOR,CARDINAL HEALTH,null,2045 INTERSTATE DRIVE,null,LAKELAND,FL,33805,POLK,BH1136185,RETAIL PHARMACY,HOME CARE PHARMACY OF PALM COAST INC,DBA HOME CARE PHARMACY,6 FLORIDA PARK DRIVE N,null,PALM COAST,FL,32137,FLAGLER,S,9143,60951079770,OXYCODONE,1.0,null,null,93092141,null,0,10282009,0.8965,100.0,910074381,ENDOCET TABS - 10MG OXYCODONE.HCL &,OXYCODONE HYDROCHLORIDE,TAB,1.5,Par Pharmaceutical,"Endo Pharmaceuticals, Inc.",Cardinal Health,10.0
RR0236073,DISTRIBUTOR,RITE AID MID-ATLANTIC,null,CUSTOMER SUPPORT CENTER,601 CHELSEA ROAD,ABERDEEN,MD,21001,HARFORD,BR3427867,CHAIN PHARMACY,"RITE AID OF OHIO, INC.",RITE AID #3266,117 SOUTH MAIN STREET,null,FREDERICKTOWN,OH,43019,KNOX,S,9193,406035705,HYDROCODONE,3.0,null,null,null,null,null,3192007,4.5405,1500.0,24344,HYDROCODONE BIT/ACETAMINOPHEN 5MG/50,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,TAB,1.0,SpecGx LLC,Mallinckrodt,Rite Aid,5.0
RC0238104,DISTRIBUTOR,CARDINAL HEALTH,null,2512 WESTCOTT BLVD,null,KNOXVILLE,TN,37931,KNOX,BR5466619,CHAIN PHARMACY,"TENNESSEE CVS PHARMACY, L.L.C.",DBA: CVS/PHARMACY  # 05391,190 UNIVERSITY PLAZA,null,MARTIN,TN,38237,WEAKLEY,S,9143,63481062770,OXYCODONE,1.0,null,null,72751313,null,0,11202007,0.2241,100.0,711030574,OXYCOD.HCL/APAP;2.5MG & 325MG/TAB;BO,OXYCODONE HYDROCHLORIDE,TAB,1.5,"Endo Pharmaceuticals, Inc.","Endo Pharmaceuticals, Inc.",Cardinal Health,2.5
PG0149650,DISTRIBUTOR,AMERICAN SALES COMPANY,null,7110 AMBASSADOR ROAD,null,BALTIMORE,MD,21244,BALTIMORE,BT3118850,CHAIN PHARMACY,THE STOP & SHOP SUPERMARKT CO,DBA STOP & SHOP PHARMACY #406,425 ATTUCKS LANE,null,HYANNIS,MA,2601,BARNSTABLE,S,9193,406035705,HYDROCODONE,1.0,null,null,null,null,null,3222011,1.5135,500.0,7457,HYDROCODONE BIT/ACETAMINOPHEN 5MG/50,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,TAB,1.0,SpecGx LLC,Mallinckrodt,American Sales Company,5.0
PD0029567,DISTRIBUTOR,MCKESSON CORPORATION,null,DBA MCKESSON DRUG COMPANY,7721 POLK STREET,LANDOVER,MD,20785,PRINCE GEORGES,BT6812350,CHAIN PHARMACY,TARGET STORES A DIV.OF TARGET CORP.,TARGET STORE T-1275,ATTN: PHARMACY,4028 WARD'S ROAD,LYNCHBURG,VA,24502,LYNCHBURG CITY,S,9193,406036501,HYDROCODONE,1.0,null,null,null,null,null,11302011,0.3027,100.0,1111014453,HYDROCODONE BIT/ACETA 5MG/325MG USP,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,TAB,1.0,SpecGx LLC,Mallinckrodt,McKesson Corporation,5.0
